Step,Regimes,Controls
sshd_disable_empty_passwords,"[NIST 800-53,CUI,DISA@RHEL6,DISA,HIPAA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,CJIS,OSPP,STIGID@RHEL7,SRG@RHEL6,STIGID@RHEL6,VMMSRG,ANSSI@DEBIAN8,ANSSI@DEBIAN9,STIGID@SLE12]","[AC-3,AC-3 (1),AC-3 (2),AC-3 (3),AC-3 (3)(a),AC-3 (3)(b),AC-3 (3)(c),AC-3 (4),AC-3 (4)(a),AC-3 (4)(b),AC-3 (4)(c),AC-3 (4)(d),AC-3 (4)(e),AC-3 (5),AC-3 (6),AC-3 (7),AC-3 (8),AC-3 (9),AC-3 (9)(a),AC-3 (9)(b),AC-3 (10),AC-6,AC-6 (10),AC-6 (9),AC-6 (8),AC-6 (7),AC-6 (7)(a),AC-6 (7)(b),AC-6 (6),AC-6 (5),AC-6 (4),AC-6 (3),AC-6 (2),AC-6 (1),3.1.5,3.1.1,765,766,366,164.310(b),164.308(a)(4)(i),164.308(b)(1),164.308(b)(3),164.312(e)(1),164.312(e)(2)(ii),DSS05.04,DSS06.03,DSS05.02,DSS05.05,DSS05.07,APO01.06,DSS06.06,DSS06.02,BAI10.01,BAI10.02,BAI10.03,BAI10.05,4.3.4.3.3,4.3.4.3.2,4.3.3.6.9,4.3.3.6.8,4.3.3.6.7,4.3.3.6.5,4.3.3.6.4,4.3.3.6.3,4.3.3.6.2,4.3.3.6.1,4.3.3.7.4,4.3.3.7.2,4.3.3.5.2,4.3.3.2.2,4.3.3.7.3,4.3.3.6.6,4.3.3.5.1,4.3.3.5.8,4.3.3.5.3,4.3.3.5.4,4.3.3.5.5,4.3.3.5.6,4.3.3.5.7,4.3.3.7.1,SR 1.1,SR 1.2,SR 1.3,SR 1.4,SR 1.5,SR 1.7,SR 1.8,SR 1.9,SR 1.13,SR 2.6,SR 2.1,SR 1.10,SR 5.2,SR 7.6,SR 2.3,SR 1.6,SR 1.11,SR 1.12,SR 2.2,SR 2.4,SR 2.5,SR 2.7,A.11.1.5,A.9.2.3,A.9.2.1,A.11.1.4,A.13.2.1,A.12.5.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,A.14.2.4,A.12.1.2,A.12.6.2,A.14.2.2,A.14.2.3,sshd_disable_empty_passwords,5.5.6,FIA_AFL.1,010300,SRG-OS-000106,000239,SRG-OS-000480-VMM-002000,NT007(R17),030150]"
sshd_disable_root_login,"[NIST 800-53,CUI,DISA@RHEL6,DISA,HIPAA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,CJIS,OSPP,STIGID@RHEL7,ANSSI,SRG@RHEL6,STIGID@RHEL6,VMMSRG,ANSSI@DEBIAN8,ANSSI@DEBIAN9,STIGID@SLE12]","[AC-3,AC-3 (1),AC-3 (2),AC-3 (3),AC-3 (3)(a),AC-3 (3)(b),AC-3 (3)(c),AC-3 (4),AC-3 (4)(a),AC-3 (4)(b),AC-3 (4)(c),AC-3 (4)(d),AC-3 (4)(e),AC-3 (5),AC-3 (6),AC-3 (7),AC-3 (8),AC-3 (9),AC-3 (9)(a),AC-3 (9)(b),AC-3 (10),IA-2,IA-2 (1),IA-2 (2),IA-2 (3),IA-2 (4),IA-2 (5),IA-2 (6),IA-2 (7),IA-2 (8),IA-2 (9),IA-2 (10),IA-2 (11),IA-2 (12),IA-2 (13),3.1.5,3.1.1,770,366,164.310(b),164.308(a)(4)(i),164.308(b)(1),164.308(b)(3),164.312(e)(1),164.312(e)(2)(ii),DSS05.04,DSS06.03,DSS05.02,DSS05.05,DSS05.07,DSS05.10,DSS06.10,APO01.06,DSS06.06,DSS06.02,4.3.3.6.9,4.3.3.6.8,4.3.3.6.7,4.3.3.6.5,4.3.3.6.4,4.3.3.6.3,4.3.3.6.2,4.3.3.6.1,4.3.3.7.4,4.3.3.7.2,4.3.3.5.2,4.3.3.2.2,4.3.3.7.3,4.3.3.6.6,4.3.3.5.1,4.3.3.5.8,4.3.3.5.3,4.3.3.5.4,4.3.3.5.5,4.3.3.5.6,4.3.3.5.7,4.3.3.7.1,SR 1.1,SR 1.2,SR 1.3,SR 1.4,SR 1.5,SR 1.7,SR 1.8,SR 1.9,SR 1.13,SR 2.6,SR 2.1,SR 1.10,SR 5.2,SR 2.3,SR 1.6,SR 1.11,SR 1.12,SR 2.2,SR 2.4,SR 2.5,SR 2.7,A.11.1.5,A.9.4.3,A.9.4.2,A.9.3.1,A.9.2.6,A.9.2.4,A.9.2.3,A.9.2.2,A.9.2.1,A.18.1.4,A.11.1.4,A.13.2.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,sshd_disable_root_login,5.5.6,FIA_AFL.1,040370,NT28(R19),SRG-OS-000109,000237,SRG-OS-000480-VMM-002000,NT007(R21),030140]"
sshd_use_approved_ciphers,"[NIST 800-53,CUI,DISA@RHEL6,DISA,HIPAA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,CJIS,STIGID@RHEL7,SRG@RHEL6,STIGID@RHEL6,NIST-CSF@RHEL6,VMMSRG]","[AC-3,AC-3 (1),AC-3 (2),AC-3 (3),AC-3 (3)(a),AC-3 (3)(b),AC-3 (3)(c),AC-3 (4),AC-3 (4)(a),AC-3 (4)(b),AC-3 (4)(c),AC-3 (4)(d),AC-3 (4)(e),AC-3 (5),AC-3 (6),AC-3 (7),AC-3 (8),AC-3 (9),AC-3 (9)(a),AC-3 (9)(b),AC-3 (10),IA-7,SC-13,SC-13 (1),SC-13 (2),SC-13 (3),SC-13 (4),SI-7,SI-7 (1),SI-7 (2),SI-7 (3),SI-7 (4),SI-7 (5),SI-7 (6),SI-7 (7),SI-7 (8),SI-7 (9),SI-7 (10),SI-7 (11),SI-7 (12),SI-7 (13),SI-7 (14),SI-7 (14)(a),SI-7 (14)(b),SI-7 (15),SI-7 (16),3.1.13,3.13.11,3.13.8,1144,1145,1146,68,803,366,164.308(b)(1),164.312(e)(1),164.312(e)(2)(ii),164.312(e)(2)(i),164.314(b)(2)(i),164.308(b)(2),DSS05.04,DSS06.03,APO13.01,DSS05.02,DSS01.04,DSS05.05,DSS05.03,DSS05.07,DSS05.10,DSS06.10,DSS06.06,BAI03.05,BAI10.01,BAI10.02,BAI10.03,BAI10.05,APO11.04,MEA02.01,4.3.4.3.3,4.3.4.3.2,4.3.3.3.9,4.3.3.6.9,4.3.3.6.8,4.3.3.6.7,4.3.3.6.5,4.3.3.6.4,4.3.3.6.3,4.3.3.6.2,4.3.3.6.1,4.3.3.7.4,4.3.3.7.2,4.3.3.5.2,4.3.3.2.2,4.3.3.7.3,4.3.3.6.6,4.3.3.5.1,4.3.3.5.8,4.3.4.4.7,4.4.2.1,4.4.2.2,4.4.2.4,4.3.3.5.3,4.3.3.5.4,4.3.3.5.5,4.3.3.5.6,4.3.3.5.7,4.3.3.7.1,SR 2.8,SR 1.1,SR 1.2,SR 1.3,SR 1.4,SR 1.5,SR 1.7,SR 1.8,SR 1.9,SR 1.13,SR 2.6,SR 2.1,SR 3.1,SR 3.8,SR 1.10,SR 4.1,SR 7.1,SR 5.2,SR 7.6,SR 2.9,SR 2.10,SR 2.11,SR 2.12,SR 2.3,SR 1.6,SR 1.11,SR 1.12,SR 2.2,SR 2.4,SR 2.5,SR 2.7,SR 3.5,SR 4.3,SR 5.1,SR 5.3,A.9.4.3,A.9.4.2,A.9.3.1,A.9.2.6,A.9.2.4,A.9.2.3,A.9.2.2,A.9.2.1,A.18.1.4,A.11.2.6,A.13.2.1,A.12.5.1,A.6.2.1,A.6.2.2,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.14.1.3,A.7.1.1,A.14.2.4,A.12.1.2,A.12.6.2,A.14.2.2,A.14.2.3,A.12.4.1,A.12.4.2,A.12.4.3,A.12.4.4,A.12.7.1,sshd_use_approved_ciphers,5.5.6,040110,SRG-OS-000169,000243,PR.DS-6,PR.DS-8,SRG-OS-000396-VMM-001590,SRG-OS-000478-VMM-001980,SRG-OS-000120-VMM-000600,SRG-OS-000033-VMM-000140]"
disable_host_auth,"[NIST 800-53,CUI,DISA@RHEL6,DISA,HIPAA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,CJIS,OSPP,STIGID@RHEL7,SRG@RHEL6,STIGID@RHEL6,VMMSRG]","[AC-3,AC-3 (1),AC-3 (2),AC-3 (3),AC-3 (3)(a),AC-3 (3)(b),AC-3 (3)(c),AC-3 (4),AC-3 (4)(a),AC-3 (4)(b),AC-3 (4)(c),AC-3 (4)(d),AC-3 (4)(e),AC-3 (5),AC-3 (6),AC-3 (7),AC-3 (8),AC-3 (9),AC-3 (9)(a),AC-3 (9)(b),AC-3 (10),3.1.12,765,766,366,164.310(b),164.308(a)(4)(i),164.308(b)(1),164.308(b)(3),164.312(e)(1),164.312(e)(2)(ii),DSS05.04,DSS06.03,DSS05.02,DSS05.05,DSS05.07,DSS06.06,BAI10.01,BAI10.02,BAI10.03,BAI10.05,4.3.4.3.3,4.3.4.3.2,4.3.3.6.9,4.3.3.6.8,4.3.3.6.7,4.3.3.6.5,4.3.3.6.4,4.3.3.6.3,4.3.3.6.2,4.3.3.6.1,4.3.3.7.4,4.3.3.7.2,4.3.3.5.2,4.3.3.2.2,4.3.3.7.3,4.3.3.6.6,4.3.3.5.1,4.3.3.5.8,4.3.3.5.3,4.3.3.5.4,4.3.3.5.5,4.3.3.5.6,4.3.3.5.7,4.3.3.7.1,SR 1.1,SR 1.2,SR 1.3,SR 1.4,SR 1.5,SR 1.7,SR 1.8,SR 1.9,SR 1.13,SR 2.6,SR 2.1,SR 1.10,SR 7.6,SR 2.3,SR 1.6,SR 1.11,SR 1.12,SR 2.2,SR 2.4,SR 2.5,SR 2.7,A.9.2.3,A.9.2.1,A.12.5.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.7.1.1,A.14.2.4,A.12.1.2,A.12.6.2,A.14.2.2,A.14.2.3,disable_host_auth,5.5.6,FIA_AFL.1,010470,SRG-OS-000106,000236,SRG-OS-000480-VMM-002000]"
selinux_state,"[NIST 800-53,CUI,DISA@RHEL6,DISA,HIPAA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,STIGID@RHEL7,ANSSI,SRG@RHEL6,STIGID@RHEL6,VSRG]","[AC-3,AC-3 (1),AC-3 (2),AC-3 (3),AC-3 (3)(a),AC-3 (3)(b),AC-3 (3)(c),AC-3 (4),AC-3 (4)(a),AC-3 (4)(b),AC-3 (4)(c),AC-3 (4)(d),AC-3 (4)(e),AC-3 (5),AC-3 (6),AC-3 (7),AC-3 (8),AC-3 (9),AC-3 (9)(a),AC-3 (9)(b),AC-3 (10),AC-4,AC-4 (22),AC-4 (21),AC-4 (20),AC-4 (19),AC-4 (18),AC-4 (17),AC-4 (16),AC-4 (15),AC-4 (14),AC-4 (13),AC-4 (12),AC-4 (11),AC-4 (10),AC-4 (9),AC-4 (8),AC-4 (7),AC-4 (6),AC-4 (5),AC-4 (4),AC-4 (3),AC-4 (2),AC-4 (1),AC-6,AC-6 (10),AC-6 (9),AC-6 (8),AC-6 (7),AC-6 (7)(a),AC-6 (7)(b),AC-6 (6),AC-6 (5),AC-6 (4),AC-6 (3),AC-6 (2),AC-6 (1),AU-9,AU-9 (1),AU-9 (2),AU-9 (3),AU-9 (4),AU-9 (5),AU-9 (6),3.1.2,3.7.2,32,22,26,2696,2165,164.310(b),164.310(c),164.308(a)(1)(ii)(D),164.308(a)(3),164.308(a)(4),164.312(a),164.312(e),DSS05.04,DSS06.03,APO13.01,DSS05.02,DSS05.05,DSS01.05,DSS05.07,APO01.06,DSS06.06,DSS06.02,BAI03.05,APO11.04,MEA02.01,DSS03.01,4.3.3.3.9,4.3.3.6.9,4.3.3.6.8,4.3.3.6.7,4.3.3.6.5,4.3.3.6.4,4.3.3.6.3,4.3.3.6.2,4.3.3.6.1,4.3.3.7.4,4.3.3.7.2,4.3.3.5.2,4.3.3.2.2,4.3.3.4,4.3.3.7.3,4.3.3.6.6,4.3.3.5.1,4.2.3.4,4.4.3.3,4.3.3.5.8,4.3.4.4.7,4.4.2.1,4.4.2.2,4.4.2.4,4.3.3.5.3,4.3.3.5.4,4.3.3.5.5,4.3.3.5.6,4.3.3.5.7,4.3.3.7.1,SR 2.8,SR 1.1,SR 1.2,SR 1.3,SR 1.4,SR 1.5,SR 1.7,SR 1.8,SR 1.9,SR 1.13,SR 2.6,SR 2.1,SR 3.1,SR 3.8,SR 1.10,SR 4.1,SR 7.1,SR 5.2,SR 7.6,SR 2.9,SR 2.10,SR 2.11,SR 2.12,SR 2.3,SR 1.6,SR 1.11,SR 1.12,SR 2.2,SR 2.4,SR 2.5,SR 2.7,SR 3.5,SR 4.3,SR 5.1,SR 5.3,A.11.1.5,A.9.2.3,A.9.2.1,A.11.1.4,A.13.2.2,A.13.2.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,A.12.1.2,A.12.4.1,A.12.4.2,A.12.4.3,A.12.4.4,A.12.7.1,A.12.1.1,A.13.1.2,selinux_state,020210,NT28(R4),SRG-OS-999999,000020,SRG-OS-000445-VMM-001780]"
selinux_policytype,"[NIST 800-53,CUI,DISA@RHEL6,DISA,HIPAA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,STIGID@RHEL7,ANSSI,SRG@RHEL6,STIGID@RHEL6,VMMSRG]","[AC-3,AC-3 (1),AC-3 (2),AC-3 (3),AC-3 (3)(a),AC-3 (3)(b),AC-3 (3)(c),AC-3 (4),AC-3 (4)(a),AC-3 (4)(b),AC-3 (4)(c),AC-3 (4)(d),AC-3 (4)(e),AC-3 (5),AC-3 (6),AC-3 (7),AC-3 (8),AC-3 (9),AC-3 (9)(a),AC-3 (9)(b),AC-3 (10),AC-4,AC-4 (22),AC-4 (21),AC-4 (20),AC-4 (19),AC-4 (18),AC-4 (17),AC-4 (16),AC-4 (15),AC-4 (14),AC-4 (13),AC-4 (12),AC-4 (11),AC-4 (10),AC-4 (9),AC-4 (8),AC-4 (7),AC-4 (6),AC-4 (5),AC-4 (4),AC-4 (3),AC-4 (2),AC-4 (1),AC-6,AC-6 (10),AC-6 (9),AC-6 (8),AC-6 (7),AC-6 (7)(a),AC-6 (7)(b),AC-6 (6),AC-6 (5),AC-6 (4),AC-6 (3),AC-6 (2),AC-6 (1),AU-9,AU-9 (1),AU-9 (2),AU-9 (3),AU-9 (4),AU-9 (5),AU-9 (6),3.1.2,3.7.2,32,22,2696,164.310(b),164.310(c),164.308(a)(1)(ii)(D),164.308(a)(3),164.308(a)(4),164.312(a),164.312(e),DSS05.04,DSS06.03,APO13.01,DSS05.02,DSS05.05,DSS01.05,DSS05.07,APO01.06,DSS06.06,DSS06.02,BAI03.05,APO11.04,MEA02.01,DSS03.01,4.3.3.3.9,4.3.3.6.9,4.3.3.6.8,4.3.3.6.7,4.3.3.6.5,4.3.3.6.4,4.3.3.6.3,4.3.3.6.2,4.3.3.6.1,4.3.3.7.4,4.3.3.7.2,4.3.3.5.2,4.3.3.2.2,4.3.3.4,4.3.3.7.3,4.3.3.6.6,4.3.3.5.1,4.2.3.4,4.4.3.3,4.3.3.5.8,4.3.4.4.7,4.4.2.1,4.4.2.2,4.4.2.4,4.3.3.5.3,4.3.3.5.4,4.3.3.5.5,4.3.3.5.6,4.3.3.5.7,4.3.3.7.1,SR 2.8,SR 1.1,SR 1.2,SR 1.3,SR 1.4,SR 1.5,SR 1.7,SR 1.8,SR 1.9,SR 1.13,SR 2.6,SR 2.1,SR 3.1,SR 3.8,SR 1.10,SR 4.1,SR 7.1,SR 5.2,SR 7.6,SR 2.9,SR 2.10,SR 2.11,SR 2.12,SR 2.3,SR 1.6,SR 1.11,SR 1.12,SR 2.2,SR 2.4,SR 2.5,SR 2.7,SR 3.5,SR 4.3,SR 5.1,SR 5.3,A.11.1.5,A.9.2.3,A.9.2.1,A.11.1.4,A.13.2.2,A.13.2.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,A.12.1.2,A.12.4.1,A.12.4.2,A.12.4.3,A.12.4.4,A.12.7.1,A.12.1.1,A.13.1.2,selinux_policytype,020220,NT28(R66),SRG-OS-999999,000023,SRG-OS-000445-VMM-001780]"
require_singleuser_auth,"[NIST 800-53,CUI,DISA,HIPAA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,OSPP,STIGID@RHEL7,SRG@RHEL6,STIGID@RHEL6,CIS@RHEL6,CIS@RHEL7,CIS@RHEL8]","[AC-3,AC-3 (1),AC-3 (2),AC-3 (3),AC-3 (3)(a),AC-3 (3)(b),AC-3 (3)(c),AC-3 (4),AC-3 (4)(a),AC-3 (4)(b),AC-3 (4)(c),AC-3 (4)(d),AC-3 (4)(e),AC-3 (5),AC-3 (6),AC-3 (7),AC-3 (8),AC-3 (9),AC-3 (9)(a),AC-3 (9)(b),AC-3 (10),IA-2,IA-2 (1),IA-2 (2),IA-2 (3),IA-2 (4),IA-2 (5),IA-2 (6),IA-2 (7),IA-2 (8),IA-2 (9),IA-2 (10),IA-2 (11),IA-2 (12),IA-2 (13),3.4.5,3.1.1,213,164.308(a)(1)(ii)(B),164.308(a)(7)(i),164.308(a)(7)(ii)(A),164.310(a)(1),164.310(a)(2)(i),164.310(a)(2)(ii),164.310(a)(2)(iii),164.310(b),164.310(c),164.310(d)(1),164.310(d)(2)(iii),DSS05.04,DSS06.03,DSS05.02,DSS05.05,DSS05.07,DSS05.10,DSS06.10,DSS06.06,4.3.3.6.9,4.3.3.6.8,4.3.3.6.7,4.3.3.6.5,4.3.3.6.4,4.3.3.6.3,4.3.3.6.2,4.3.3.6.1,4.3.3.7.4,4.3.3.7.2,4.3.3.5.2,4.3.3.2.2,4.3.3.7.3,4.3.3.6.6,4.3.3.5.1,4.3.3.5.8,4.3.3.5.3,4.3.3.5.4,4.3.3.5.5,4.3.3.5.6,4.3.3.5.7,4.3.3.7.1,SR 1.1,SR 1.2,SR 1.3,SR 1.4,SR 1.5,SR 1.7,SR 1.8,SR 1.9,SR 1.13,SR 2.6,SR 2.1,SR 1.10,SR 2.3,SR 1.6,SR 1.11,SR 1.12,SR 2.2,SR 2.4,SR 2.5,SR 2.7,A.9.4.3,A.9.4.2,A.9.3.1,A.9.2.6,A.9.2.4,A.9.2.3,A.9.2.2,A.9.2.1,A.18.1.4,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.7.1.1,require_singleuser_auth,FIA_AFL.1,010481,SRG-OS-000080,000069,1.4.3,1.5.3]"
grub2_uefi_password,"[NIST 800-53,CUI,DISA,HIPAA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,OSPP,STIGID@RHEL7,ANSSI]","[AC-3,AC-3 (1),AC-3 (2),AC-3 (3),AC-3 (3)(a),AC-3 (3)(b),AC-3 (3)(c),AC-3 (4),AC-3 (4)(a),AC-3 (4)(b),AC-3 (4)(c),AC-3 (4)(d),AC-3 (4)(e),AC-3 (5),AC-3 (6),AC-3 (7),AC-3 (8),AC-3 (9),AC-3 (9)(a),AC-3 (9)(b),AC-3 (10),3.4.5,213,164.308(a)(1)(ii)(B),164.308(a)(7)(i),164.308(a)(7)(ii)(A),164.310(a)(1),164.310(a)(2)(i),164.310(a)(2)(ii),164.310(a)(2)(iii),164.310(b),164.310(c),164.310(d)(1),164.310(d)(2)(iii),DSS05.04,DSS06.03,DSS05.02,DSS05.05,DSS05.07,DSS06.06,4.3.3.6.9,4.3.3.6.8,4.3.3.6.7,4.3.3.6.5,4.3.3.6.4,4.3.3.6.3,4.3.3.6.2,4.3.3.6.1,4.3.3.7.4,4.3.3.7.2,4.3.3.5.2,4.3.3.2.2,4.3.3.7.3,4.3.3.6.6,4.3.3.5.1,4.3.3.5.8,4.3.3.5.3,4.3.3.5.4,4.3.3.5.5,4.3.3.5.6,4.3.3.5.7,4.3.3.7.1,SR 1.1,SR 1.2,SR 1.3,SR 1.4,SR 1.5,SR 1.7,SR 1.8,SR 1.9,SR 1.13,SR 2.6,SR 2.1,SR 1.10,SR 2.3,SR 1.6,SR 1.11,SR 1.12,SR 2.2,SR 2.4,SR 2.5,SR 2.7,A.9.2.3,A.9.2.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.7.1.1,grub2_uefi_password,FIA_AFL.1,010490,NT28(R17)]"
grub2_password,"[NIST 800-53,CUI,DISA,HIPAA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,OSPP,STIGID@RHEL7,ANSSI]","[AC-3,AC-3 (1),AC-3 (2),AC-3 (3),AC-3 (3)(a),AC-3 (3)(b),AC-3 (3)(c),AC-3 (4),AC-3 (4)(a),AC-3 (4)(b),AC-3 (4)(c),AC-3 (4)(d),AC-3 (4)(e),AC-3 (5),AC-3 (6),AC-3 (7),AC-3 (8),AC-3 (9),AC-3 (9)(a),AC-3 (9)(b),AC-3 (10),IA-2,IA-2 (1),IA-2 (2),IA-2 (3),IA-2 (4),IA-2 (5),IA-2 (6),IA-2 (7),IA-2 (8),IA-2 (9),IA-2 (10),IA-2 (11),IA-2 (12),IA-2 (13),3.4.5,213,164.308(a)(1)(ii)(B),164.308(a)(7)(i),164.308(a)(7)(ii)(A),164.310(a)(1),164.310(a)(2)(i),164.310(a)(2)(ii),164.310(a)(2)(iii),164.310(b),164.310(c),164.310(d)(1),164.310(d)(2)(iii),DSS05.04,DSS06.03,DSS05.02,DSS05.05,DSS05.07,DSS05.10,DSS06.10,DSS06.06,4.3.3.6.9,4.3.3.6.8,4.3.3.6.7,4.3.3.6.5,4.3.3.6.4,4.3.3.6.3,4.3.3.6.2,4.3.3.6.1,4.3.3.7.4,4.3.3.7.2,4.3.3.5.2,4.3.3.2.2,4.3.3.7.3,4.3.3.6.6,4.3.3.5.1,4.3.3.5.8,4.3.3.5.3,4.3.3.5.4,4.3.3.5.5,4.3.3.5.6,4.3.3.5.7,4.3.3.7.1,SR 1.1,SR 1.2,SR 1.3,SR 1.4,SR 1.5,SR 1.7,SR 1.8,SR 1.9,SR 1.13,SR 2.6,SR 2.1,SR 1.10,SR 2.3,SR 1.6,SR 1.11,SR 1.12,SR 2.2,SR 2.4,SR 2.5,SR 2.7,A.9.4.3,A.9.4.2,A.9.3.1,A.9.2.6,A.9.2.4,A.9.2.3,A.9.2.2,A.9.2.1,A.18.1.4,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.7.1.1,grub2_password,FIA_AFL.1,010480,NT28(R17)]"
rsyslog_nolisten,"[NIST 800-53,DISA,COBIT 5,ISA 62443-2-1:2009,ISA 62443-3-3:2013,ISO/IEC 27001:2013,ComplianceAsCode,STIGID@RHEL7]","[AC-4,AC-4 (22),AC-4 (21),AC-4 (20),AC-4 (19),AC-4 (18),AC-4 (17),AC-4 (16),AC-4 (15),AC-4 (14),AC-4 (13),AC-4 (12),AC-4 (11),AC-4 (10),AC-4 (9),AC-4 (8),AC-4 (7),AC-4 (6),AC-4 (5),AC-4 (4),AC-4 (3),AC-4 (2),AC-4 (1),1814,368,318,1812,1813,DSS05.04,APO13.01,DSS05.02,DSS01.05,DSS05.07,APO01.06,DSS06.02,BAI03.05,BAI10.01,BAI10.02,BAI10.03,BAI10.05,APO11.04,MEA02.01,DSS03.01,4.3.4.3.3,4.3.4.3.2,4.3.3.3.9,4.3.3.4,4.2.3.4,4.4.3.3,4.3.3.5.8,4.3.4.4.7,4.4.2.1,4.4.2.2,4.4.2.4,SR 2.8,SR 3.1,SR 3.8,SR 4.1,SR 7.1,SR 5.2,SR 7.6,SR 2.9,SR 2.10,SR 2.11,SR 2.12,SR 3.5,SR 4.3,SR 5.1,SR 5.3,A.11.1.5,A.9.2.3,A.11.1.4,A.13.2.2,A.13.2.1,A.12.5.1,A.11.2.1,A.13.1.1,A.6.1.2,A.9.1.2,A.9.4.1,A.9.4.4,A.9.4.5,A.13.1.3,A.14.1.2,A.14.1.3,A.7.1.1,A.8.2.3,A.13.2.3,A.7.1.2,A.7.3.1,A.8.2.2,A.9.1.1,A.10.1.1,A.13.2.4,A.14.2.4,A.12.1.2,A.12.6.2,A.14.2.2,A.14.2.3,A.12.4.1,A.12.4.2,A.12.4.3,A.12.4.4,A.12.7.1,A.12.1.1,A.13.1.2,rsyslog_nolisten,031010]"
