Step,NIST,CJIS
set_firewalld_default_zone,CM-7,5.10.1
kernel_module_dccp_disabled,CM-7,5.10.1
set_firewalld_default_zone,CM-7 (5),5.10.1
kernel_module_dccp_disabled,CM-7 (5),5.10.1
set_firewalld_default_zone,CM-7 (5)(a),5.10.1
kernel_module_dccp_disabled,CM-7 (5)(a),5.10.1
set_firewalld_default_zone,CM-7 (5)(b),5.10.1
kernel_module_dccp_disabled,CM-7 (5)(b),5.10.1
set_firewalld_default_zone,CM-7 (5)(c),5.10.1
kernel_module_dccp_disabled,CM-7 (5)(c),5.10.1
set_firewalld_default_zone,CM-7 (4),5.10.1
kernel_module_dccp_disabled,CM-7 (4),5.10.1
set_firewalld_default_zone,CM-7 (4)(a),5.10.1
kernel_module_dccp_disabled,CM-7 (4)(a),5.10.1
set_firewalld_default_zone,CM-7 (4)(b),5.10.1
kernel_module_dccp_disabled,CM-7 (4)(b),5.10.1
set_firewalld_default_zone,CM-7 (4)(c),5.10.1
kernel_module_dccp_disabled,CM-7 (4)(c),5.10.1
set_firewalld_default_zone,CM-7 (3),5.10.1
kernel_module_dccp_disabled,CM-7 (3),5.10.1
set_firewalld_default_zone,CM-7 (2),5.10.1
kernel_module_dccp_disabled,CM-7 (2),5.10.1
set_firewalld_default_zone,CM-7 (1),5.10.1
kernel_module_dccp_disabled,CM-7 (1),5.10.1
set_firewalld_default_zone,CM-7 (1)(a),5.10.1
kernel_module_dccp_disabled,CM-7 (1)(a),5.10.1
set_firewalld_default_zone,CM-7 (1)(b),5.10.1
kernel_module_dccp_disabled,CM-7 (1)(b),5.10.1
set_firewalld_default_zone,CM-7b.,5.10.1
kernel_module_dccp_disabled,CM-7b.,5.10.1
set_firewalld_default_zone,CM-7a.,5.10.1
kernel_module_dccp_disabled,CM-7a.,5.10.1
sysctl_net_ipv4_conf_default_send_redirects,AC-4,5.10.1.1
sysctl_net_ipv4_conf_all_send_redirects,AC-4,5.10.1.1
sysctl_net_ipv4_conf_default_accept_source_route,AC-4,5.10.1.1
sysctl_net_ipv4_conf_default_accept_redirects,AC-4,5.10.1.1
sysctl_net_ipv4_icmp_echo_ignore_broadcasts,AC-4,5.10.1.1
sysctl_net_ipv4_conf_default_send_redirects,AC-4 (22),5.10.1.1
sysctl_net_ipv4_conf_all_send_redirects,AC-4 (22),5.10.1.1
sysctl_net_ipv4_conf_default_accept_source_route,AC-4 (22),5.10.1.1
sysctl_net_ipv4_conf_default_accept_redirects,AC-4 (22),5.10.1.1
sysctl_net_ipv4_icmp_echo_ignore_broadcasts,AC-4 (22),5.10.1.1
sysctl_net_ipv4_conf_default_send_redirects,AC-4 (21),5.10.1.1
sysctl_net_ipv4_conf_all_send_redirects,AC-4 (21),5.10.1.1
sysctl_net_ipv4_conf_default_accept_source_route,AC-4 (21),5.10.1.1
sysctl_net_ipv4_conf_default_accept_redirects,AC-4 (21),5.10.1.1
sysctl_net_ipv4_icmp_echo_ignore_broadcasts,AC-4 (21),5.10.1.1
sysctl_net_ipv4_conf_default_send_redirects,AC-4 (20),5.10.1.1
sysctl_net_ipv4_conf_all_send_redirects,AC-4 (20),5.10.1.1
sysctl_net_ipv4_conf_default_accept_source_route,AC-4 (20),5.10.1.1
sysctl_net_ipv4_conf_default_accept_redirects,AC-4 (20),5.10.1.1
sysctl_net_ipv4_icmp_echo_ignore_broadcasts,AC-4 (20),5.10.1.1
sysctl_net_ipv4_conf_default_send_redirects,AC-4 (19),5.10.1.1
sysctl_net_ipv4_conf_all_send_redirects,AC-4 (19),5.10.1.1
sysctl_net_ipv4_conf_default_accept_source_route,AC-4 (19),5.10.1.1
sysctl_net_ipv4_conf_default_accept_redirects,AC-4 (19),5.10.1.1
sysctl_net_ipv4_icmp_echo_ignore_broadcasts,AC-4 (19),5.10.1.1
sysctl_net_ipv4_conf_default_send_redirects,AC-4 (18),5.10.1.1
sysctl_net_ipv4_conf_all_send_redirects,AC-4 (18),5.10.1.1
sysctl_net_ipv4_conf_default_accept_source_route,AC-4 (18),5.10.1.1
sysctl_net_ipv4_conf_default_accept_redirects,AC-4 (18),5.10.1.1
sysctl_net_ipv4_icmp_echo_ignore_broadcasts,AC-4 (18),5.10.1.1
sysctl_net_ipv4_conf_default_send_redirects,AC-4 (17),5.10.1.1
sysctl_net_ipv4_conf_all_send_redirects,AC-4 (17),5.10.1.1
sysctl_net_ipv4_conf_default_accept_source_route,AC-4 (17),5.10.1.1
sysctl_net_ipv4_conf_default_accept_redirects,AC-4 (17),5.10.1.1
