NIST,PCI
SC-7,1.1
AC-10,1.1
AC-4,1.1
PL-8,1.1.2
CA-9,1.1.2
CA-3,1.1.2
AC-4,1.1.2
PL-8,1.1.3
CA-9,1.1.3
CA-3,1.1.3
AC-4,1.1.3
PM-13,1.1.5
AT-3,1.1.5
SC-7,1.2
AC-10,1.2
AC-4,1.2
SI-4,1.5
CA-7,1.5
AC-21,1.5
SA-10,1.5
CM-9,1.5
CM-7,1.5
CM-6,1.5
CM-5,1.5
CM-4,1.5
CM-3,1.5
CM-2,1.5
PM-11,1.5
PM-10,1.5
PM-9,1.5
PM-7,1.5
PM-3,1.5
SA-2,1.5
SI-4,10.1
PE-20,10.1
PE-6,10.1
PE-3,10.1
CM-8,10.1
CM-3,10.1
CA-7,10.1
AU-12,10.1
SI-4,10.1
IR-8,10.1
IR-5,10.1
IR-4,10.1
CA-7,10.1
AU-6,10.1
SI-7,10.5
SC-16,10.5
PM-14,10.6.1
SI-4,10.6.1
SI-3,10.6.1
PE-3,10.6.1
CA-7,10.6.1
CA-2,10.6.1
SI-4,10.6.1
PE-20,10.6.1
PE-6,10.6.1
PE-3,10.6.1
CM-8,10.6.1
CM-3,10.6.1
CA-7,10.6.1
AU-12,10.6.1
SI-4,10.6.1
SC-7,10.6.1
SC-5,10.6.1
CM-3,10.6.1
CA-7,10.6.1
AU-12,10.6.1
AC-2,10.6.1
SI-4,10.6.1
IR-4,10.6.1
CA-7,10.6.1
AU-6,10.6.1
RA-5,10.6.3
RA-3,10.6.3
CA-7,10.6.3
IR-4,10.6.3
IR-4,10.6.3
IR-8,10.6.3
IR-5,10.6.3
IR-4,10.6.3
CP-2,10.6.3
IR-4,10.6.3
AU-7,10.6.3
IR-4,10.6.3
CP-2,10.6.3
SI-4,10.6.3
PE-6,10.6.3
IR-5,10.6.3
IR-4,10.6.3
CA-7,10.6.3
AU-6,10.6.3
SI-4,10.8
CA-7,10.8
AC-21,10.8
SA-10,10.8
CM-9,10.8
CM-7,10.8
CM-6,10.8
CM-5,10.8
CM-4,10.8
CM-3,10.8
CM-2,10.8
SC-7,10.8
AC-10,10.8
AC-4,10.8
PM-11,10.8
PM-10,10.8
PM-9,10.8
PM-7,10.8
PM-3,10.8
SA-2,10.8
PM-14,10.9
SI-4,10.9
SI-3,10.9
PE-3,10.9
CA-7,10.9
CA-2,10.9
SI-4,11.1
PE-20,11.1
PE-6,11.1
PE-3,11.1
CM-8,11.1
CM-3,11.1
CA-7,11.1
AU-12,11.1
PE-16,11.1.1
MP-6,11.1.1
CM-8,11.1.1
PM-5,11.1.1
CM-8,11.1.1
PE-17,11.1.2
IR-9,11.1.2
IR-8,11.1.2
IR-7,11.1.2
