NIST Cybersecurity Framework Version 1.1 to NIST Special Publication 800-53, Revision 5, Security and Privacy Controls for Information Systems and Organizations			
Function	Category	Subcategory	NIST SP 800-53, Revision 5 Control
Identify (ID)	Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.	ID.AM-1: Physical devices and systems within the organization are inventoried	CM-8, PM-5
		ID.AM-2: Software platforms and applications within the organization are inventoried	CM-8
		ID.AM-3: Organizational communication and data flows are mapped	AC-4, CA-3, CA-9, PL-8, SA-17
		ID.AM-4: External information systems are catalogued	AC-20, PM-5, SA-9
		ID.AM-5: Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value 	CP-2, RA-2, RA-9, SA-20, SC-6
		ID.AM-6: Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established	CP-2, PS-7, PM-2, PM-29
	Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.	ID.BE-1: The organization’s role in the supply chain is identified and communicated	SR-1, SR-3
		ID.BE-2: The organization’s place in critical infrastructure and its industry sector is identified and communicated	PM-8
		ID.BE-3: Priorities for organizational mission, objectives, and activities are established and communicated	PM-11
		ID.BE-4: Dependencies and critical functions for delivery of critical services are established	CP-2, CP-8, PE-9, PE-11, PM-8, RA-9, SA-20, SR-2
		ID.BE-5: Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)	CP-2, CP-11, RA-9, SA-8, SA-20 
	Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.	ID.GV-1: Organizational cybersecurity policy is established and communicated	AC-1, AT-1, AU-1, CA-1, CM-1, CP-1, IA-1, IR-1, MA-1, MP-1, PE-1, PL-1, PM-1, PS-1, PT-1, RA-1, SA-1, SC-1, SI-1, SR-1
		ID.GV-2: Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners	PS-7, PS-9, PM-1, PM-2, PM-29
		ID.GV-3: Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed	AC-1, AT-1, AU-1, CA-1, CM-1, CP-1, IA-1, IR-1, MA-1, MP-1, PE-1, PL-1, PM-1, PS-1, PT-1, RA-1, SA-1, SC-1, SI-1, SR-1
		ID.GV-4: Governance and risk management processes address cybersecurity risks	 PM-3, PM-7, PM-9, PM-10, PM-11, PM-28,  RA-1, RA-2, RA-3, SA-2
	Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.	ID.RA-1: Asset vulnerabilities are identified and documented	 CA-2, CA-5, CA-7, CA-8, PM-4, PM-15, RA-3, RA-5, SA-5, SA-11, SI-2, SI-4, SI-5
		ID.RA-2: Cyber threat intelligence is received from information sharing forums and sources	PM-15, PM-16, RA-10, SI-5
		ID.RA-3: Threats, both internal and external, are identified and documented	PM-12, PM-16, RA-3, RA-10, SI-5
		ID.RA-4: Potential business impacts and likelihoods are identified	CP-2, PM-9, PM-11, RA-2, RA-3, RA-9
