Control	Selection	Parameters	Tailoring
AC-3 (2)	+VR	Justification to Select: White House Memorandum, Near-term Measures to Reduce the Risk of High-Impact Unauthorized Disclosures, requires the implementation of two-stage controls (review and concurrence of a second person) for all transfers of data from a classified computer network to removable media, if the transfer is not part of an approved internal use process such as encrypted back-ups. Parameter Value: The information system enforces dual authorization for all transfers of data from a classified computer network to removable media. Regulatory/Statutory Reference(s): EO 13587, Sec 6.1; White House Memorandum, Near-term Measures to Reduce the Risk of High-Impact Unauthorized Disclosures, Task D-1.	
AC-3 (4)	+R	Justification to Select: EO 13526 requires that classified information be accessible only to those with the appropriate need-to-know. Discretionary access controls provide a means to reduce the opportunities cleared individuals may have to gain access to information for which they do not have a need-to-know. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (a).	
AC-5	+GR	Justification to Select: EO 13587 requires the establishment of an insider threat program for deterring, detecting, and mitigating insider threats, including the safeguarding of classified information from exploitation, compromise, or other unauthorized disclosure. White House Memorandum, Near-term Measures to Reduce the Risk of High-Impact Unauthorized Disclosures, requires the implementation of the separation of duties. Separation of duties provides a means to safeguard the information by reducing the opportunities individuals may have to gain access to information. Supplemental Guidance: Organizations should separate roles for network or database administration from other sensitive functions, such as cryptographic key management, hardware management, removable media data transfer, system security management, or access to particularly sensitive information. Regulatory/Statutory Reference(s): EO 13587, Sec 6.1; White House Memorandum, Near-term Measures to Reduce the Risk of High-Impact Unauthorized Disclosures, Tasks C-1 and C-3.	
AC-6	+R	Justification to Select: EO 13526 requires that classified information be accessible only to those with the appropriate need-to-know. Implementing least privilege provides a means to reduce the opportunities individuals may have to gain access to information for which they do not have a need-to-know. White House Memorandum, Near-term Measures to Reduce the Risk of High-Impact Unauthorized Disclosures, requires the implementation of least privilege. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (a); White House Memorandum, Near-term Measures to Reduce the Risk of High-Impact Unauthorized Disclosures, Tasks C-1 and C-3.	
AC-6 (7)	+R	Justification to Select: The White House Memorandum, Near-term Measures to Reduce the Risk of High-Impact Unauthorized Disclosures, requires the review of all privileged users and ensures they have the appropriate clearances, roles, and scope to perform their duties. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (a); White House Memorandum, Near-term Measures to Reduce the Risk of High-Impact Unauthorized Disclosures, Tasks A-1, and C-1.	
AC-11	+EVR	Justification to Select: EO 13526 requires organizations to establish uniform procedures to ensure information systems that store, process, or transmit classified information prevent access by unauthorized persons. Requiring a session lock after a specified period of inactivity or receiving a request from a user helps to prevent unauthorized users from physically using an authorized user's session as a means to gain unauthorized access to classified information. Control Extension: Organizations require users to initiate a session lock of information system workstations before leaving them unattended. Parameter Value: (a) The information system prevents further access to the system by initiating a session lock after a period not to exceed 15 minutes of inactivity or upon receiving a request from a user. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (f); EO 13587, Sec 5.2, para. (a).	
AC-11 (1)	+R	Justification to Select: Requiring the information system to conceal the information previously visible on the display after session lock helps to prevent unauthorized users from viewing an authorized user's display as a means to gain unauthorized access to classified information. Regulatory/Statutory Reference(s): EO 13526, Sec 4.1, para. (f); EO 13587, Sec 5.2, para. (a).	
AC-16	+GR	Justification to Select: EO 13526 defines classification levels and requires organizations to mark classified information to reflect its classification. Supplemental Guidance: For classification and control markings, the organization determines the permitted attributes and permitted values consistent with the policies applicable to the organization and based on the classification level and related security characteristics of the information stored, processed, or transmitted by the information system. Regulatory/Statutory Reference(s): EO 13526, Sec 1.2, para. (a), Sec 1.6, para. (a), and Sec 2.1, para. (a-b).	
AC-16 (5)	+GR	Justification to Select: See justification for AC-16. Supplemental Guidance: See supplemental guidance for AC-16. Regulatory/Statutory Reference(s): EO 13526, Sec 1.6, para. (a) and Sec 2.1, para. (a-b).	
AC-16 (6)	+GR	Justification to Select: See justification for AC-16. Supplemental Guidance: See supplemental guidance for AC-16. Regulatory/Statutory Reference(s): EO 13526, Sec 1.6, para. (a) and Sec 2.1, para. (a-b).	
