Control	TITLE	Confidentiality_Low	Confidentiality_Moderate	Confidentiality_High	Integrity_Low	Integrity_Moderate	Integrity_High	Availability_Low	Availability_Moderate	Availability_High	ID	C	I	A	Justification for NSS Baseline	Potentially Common or Inheritable	Parameters
AC-1	Access Control Policy and Procedures	X	X	X	X	X	X	X	X	X	AC-1	X	X	X		X	a. [Assignment: organization-defined personnel or roles]; b.1. [Assignment: organization-defined frequency]; b.2. [Assignment: organization-defined frequency]
AC-2	Account Management	X	X	X	X	X	X				AC-2	X	X				a. [Assignment: organization-defined information system account types]; e. [Assignment: organization-defined personnel or roles]; f. [Assignment: organization-defined procedures or conditions]; j. [Assignment: organization-defined frequency]
AC-2 (1)	Account Management | Automated System Account Management		X	X		X	X				AC-2 (1)	X	X			X	
AC-2 (2)	Account Management | Removal of Temporary / Emergency Accounts		X	X		X	X				AC-2 (2)	X	X			X	[Selection: removes; disables]; [Assignment: organization-defined time period for each type of account]
AC-2 (3)	Account Management | Disable Inactive Accounts		X	X		X	X				AC-2 (3)	X	X			X	[Assignment: organization-defined time period].
AC-2 (4)	Account Management | Automated Audit Actions	+	X	X	+	X	X				AC-2 (4)	X	X		Insider Threat. Issuance: CNSSI No. 1015.	X	
AC-2 (5)	Account Management | Inactivity Logout	+	+	X	+	+	X	+	+	X	AC-2 (5)	X	X	X	Best Practice. Insider Threat.	X	[Assignment: organization-defined time-period of expected inactivity or description of when to log out]
AC-2 (6)	Account Management | Dynamic Privilege Management										AC-2 (6)	X	X				
AC-2 (7)	Account Management | Role-Based Schemes	+	+	+	+	+	+				AC-2 (7)	X	X		Insider Threat. Issuance: CNSSI No. 1015.		(c) [Assignment: organization-defined actions
AC-2 (8)	Account Management | Dynamic Account Creation										AC-2 (8)	X	X				
AC-2 (9)	Account Management | Restrictions on Use of Shared Groups / Accounts	+	+	+	+	+	+				AC-2 (9)	X	X		Insider Threat.	X	
AC-2 (10)	Account Management | Shared / Group Account Credential Termination	+	+	+	+	+	+				AC-2 (10)	X	X		Insider Threat.		
AC-2 (11)	Account Management | Usage Conditions			X			X				AC-2 (11)	X	X				
AC-2 (12)	Account Management | Account Monitoring / Atypical Usage	+	+	X	+	+	X				AC-2 (12)	X	X		Insider Threat.	X	
AC-2 (13)	Account Management | Disable Accounts For High-Risk Individuals	+	+	X	+	+	X				AC-2 (13)	X	X		Insider Threat.		[Assignment: organization-defined time period]
AC-3	Access Enforcement	X	X	X	X	X	X				AC-3	X	X				
AC-3 (1)	Access Enforcement | Restricted Access to Privileged Functions	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AC-3 (1)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AC-3 (2)	Access Enforcement | Dual Authorization										AC-3 (2)	X	X				
AC-3 (3)	Access Enforcement | Mandatory Access Control										AC-3 (3)	X	X				
AC-3 (4)	Access Enforcement | Discretionary Access Control	+	+	+	+	+	+				AC-3 (4)	X	X		NIST Assumption: Some user data/information in organizational information systems is not shareable with other users who have authorized access to the same systems.		
AC-3 (5)	Access Enforcement | Security-Relevant Information										AC-3 (5)	X	X				
AC-3 (6)	Access Enforcement | Protection of User and System Information	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AC-3 (6)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AC-3 (7)	Access Enforcement | Role-Based Access Control										AC-3 (7)	X	X				
AC-3 (8)	Access Enforcement | Revocation of Access Authorizations										AC-3 (8)	X	X				
AC-3 (9)	Access Enforcement | Controlled Release										AC-3 (9)	X					
AC-3 (10)	Access Enforcement | Audited Override of Access Control Mechanisms										AC-3 (10)	X	X	X			
AC-4	Information Flow Enforcement		X	X		X	X				AC-4	X	X			X	
AC-4 (1)	Information Flow Enforcement | Object Security Attributes										AC-4 (1)	X	X			X	
AC-4 (2)	Information Flow Enforcement | Processing Domains										AC-4 (2)	X	X			X	
AC-4 (3)	Information Flow Enforcement | Dynamic Information Flow Control										AC-4 (3)	X	X			X	
AC-4 (4)	Information Flow Enforcement | Content Check Encrypted Information										AC-4 (4)	X	X			X	
AC-4 (5)	Information Flow Enforcement | Embedded Data Types										AC-4 (5)	X	X			X	
AC-4 (6)	Information Flow Enforcement | Metadata										AC-4 (6)	X	X			X	
AC-4 (7)	Information Flow Enforcement | One-Way Flow Mechanisms										AC-4 (7)	X	X			X	
AC-4 (8)	Information Flow Enforcement | Security Policy Filters										AC-4 (8)	X	X			X	
AC-4 (9)	Information Flow Enforcement | Human Reviews										AC-4 (9)	X				X	
AC-4 (10)	Information Flow Enforcement | Enable / Disable Security Policy Filters										AC-4 (10)	X	X			X	
AC-4 (11)	Information Flow Enforcement | Configuration of Security Policy Filters										AC-4 (11)	X	X			X	
AC-4 (12)	Information Flow Enforcement | Data Type Identifiers										AC-4 (12)	X	X			X	
AC-4 (13)	Information Flow Enforcement | Decomposition Into Policy-Relevant Subcomponents										AC-4 (13)	X	X			X	
AC-4 (14)	Information Flow Enforcement | Security Policy Filter Constraints										AC-4 (14)	X	X			X	
AC-4 (15)	Information Flow Enforcement | Detection of Unsanctioned Information										AC-4 (15)	X	X			X	
AC-4 (16)	Information Flow Enforcement | Information Transfers on Interconnected Systems	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AC-4 (16)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AC-4 (17)	Information Flow Enforcement | Domain Authentication										AC-4 (17)	X	X			X	
AC-4 (18)	Information Flow Enforcement | Security Attribute Binding										AC-4 (18)		X				
AC-4 (19)	Information Flow Enforcement | Validation of Metadata										AC-4 (19)	X	X			X	
AC-4 (20)	Information Flow Enforcement | Approved Solutions										AC-4 (20)	X	X			X	
AC-4 (21)	Information Flow Enforcement | Physical / Logical Separation of Information Flows										AC-4 (21)	X	X			X	
AC-4 (22)	Information Flow Enforcement | Access Only										AC-4 (22)	X	X			X	
AC-5	Separation of Duties	+	X	X	+	X	X				AC-5	X	X		Insider Threat.		
AC-6	Least Privilege	+	X	X	+	X	X				AC-6	X	X		Insider Threat. NSS Best Practice. In support of and/or consistent with CM-5 (5).		
AC-6 (1)	Least Privilege | Authorize Access to Security Functions	+	X	X	+	X	X				AC-6 (1)	X	X		Insider Threat.		
AC-6 (2)	Least Privilege | Non-Privileged Access For Nonsecurity Functions	+	X	X	+	X	X				AC-6 (2)	X	X		Insider Threat. APT.		[Assignment: organization-defined security functions or security-relevant information]
AC-6 (3)	Least Privilege | Network Access to Privileged Commands			X			X				AC-6 (3)	X	X				
AC-6 (4)	Least Privilege | Separate Processing Domains										AC-6 (4)	X	X				
AC-6 (5)	Least Privilege | Privileged Accounts	+	X	X	+	X	X				AC-6 (5)	X	X		Insider Threat. APT.	X	
AC-6 (6)	Least Privilege | Privileged Access by Non- Organizational Users										AC-6 (6)	X	X			X	
AC-6 (7)	Least Privilege | Review of User Privileges	+	+	+	+	+	+				AC-6 (7)	X	X		Insider Threat.		
AC-6 (8)	Least Privilege | Privilege Levels For Code Execution	+	+	+	+	+	+				AC-6 (8)	X	X		APT. NSS Best Practice.		[Assignment: organization-defined software]
AC-6 (9)	Least Privilege | Auditing Use of Privileged Functions	+	X	X	+	X	X				AC-6 (9)	X	X		Insider Threat. APT. Issuance: CNSSI No. 1015		
AC-6 (10)	Least Privilege | Prohibit Nonprivileged Users from Executing Privileged Functions	+	X	X	+	X	X				AC-6 (10)	X	X		Insider Threat. APT.		
AC-7	Unsuccessful Logon Attempts	X	X	X	X	X	X	X	X	X	AC-7	X	X	X			a. [Assignment: organization-defined number]; [Assignment: organization-defined time period]; b. [Selection: locks the account/node for an [Assignment: organization-defined time period]; [Assignment: organization-defined delay algorithm]]
AC-7 (1)	Unsuccessful Logon Attempts | Automatic Account Lock	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AC-7 (1)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AC-7 (2)	Unsuccessful Logon Attempts | Purge/Wipe Mobile Device										AC-7 (2)	X					[Assignment: organization-defined mobile devices]; [Assignment: organization-defined; purging/wiping requirements/techniques]; [Assignment: organization-defined number]
AC-8	System Use Notification	X	X	X	X	X	X				AC-8	X	X			X	
AC-9	Previous Logon  (Access) Notification										AC-9		X				
AC-9 (1)	Previous Logon Notification | Unsuccessful Logons										AC-9 (1)		X				
AC-9 (2)	Previous Logon Notification | Successful / Unsuccessful Logons										AC-9 (2)		X				
AC-9 (3)	Previous Logon Notification | Notification of Account Changes										AC-9 (3)		X				[Assignment: organization-defined security- related characteristics/parameters of the user’s account]; [Assignment: organization-defined time period]; Privileged; maximum of 3 sessions
AC-9 (4)	Previous Logon Notification | Additional Logon Information										AC-9 (4)		X				
AC-10	Concurrent Session Control		+	X		+	X		+	X	AC-10	X	X	X	NSS Best Practice. APT.		[Assignment: organization-defined account and/or account type]; [Assignment: organization-defined number]
AC-11	Session Lock	+	X	X	+	X	X				AC-11	X	X		Insider Threat. NSS Best Practice.		a. [Assignment: organization-defined time period]
AC-11 (1)	Session Lock | Pattern-Hiding Displays	+	X	X							AC-11 (1)	X			Insider Threat. NSS Best Practice.		
AC-12	Session Termination		X	X		X	X				AC-12	X	X				
AC-12 (1)	Session Termination | User-initiated Logouts / Message Displays		+	+		+	+				AC-12 (1)	X	X		NSS Best Practice. NIST Assumption: Some user data/information in organizational information systems is not shareable with other users who have authorized access to the same systems.		(a) [Assignment: organization-defined information resources]
AC-13	Supervision and Review — Access Control	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AC-13	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AC-14	Permitted Actions Without Identification or Authentication	X	X	X	X	X	X				AC-14	X	X				a. [Assignment: organization-defined user actions]
AC-14 (1)	Permitted Actions Without Identification or Authentication | Necessary Uses	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AC-14 (1)	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AC-15	Automated Marking	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	AC-15	Withdrawn	Withdrawn	Withdrawn	Withdrawn	Withdrawn	
AC-16	Security Attributes		+	+		+	+				AC-16	X	X		NSS Best Practice.		
AC-16 (1)	Security Attributes | Dynamic Attribute Association										AC-16 (1)	X	X				
AC-16 (2)	Security Attributes | Attribute Value Changes by Authorized Individuals										AC-16 (2)		X				
AC-16 (3)	Security Attributes | Maintenance of Attribute Associations by Information System										AC-16 (3)		X				
AC-16 (4)	Security Attributes | Association of Attributes by Authorized Individuals										AC-16 (4)	X	X				
AC-16 (5)	Security Attributes | Attribute Displays For Output Devices										AC-16 (5)	X					
AC-16 (6)	Security Attributes | Maintenance of Attribute Association by Organization		+	+		+	+				AC-16 (6)	X	X		NSS Best Practice.		
