Control	Low	Moderate	High	PHI	Parameters
AC-1	+GR	+GR	+GR	+ER	Justification to Select: Access Control policies and procedures form the foundation that allows privacy protections to be implemented for the identified uses of PII and PHI. PHI Control Extension: The organization develops, disseminates, and reviews/updates the access control policies and procedures complying with the HIPAA Minimum Necessary Rule and permitted or required uses and disclosures, to limit unnecessary or inappropriate access to PHI. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Privacy requirements commonly use the terms "adequate security" and "confidentiality" when referring to access controls and other security safeguards for PII. Applied together, these terms signify the need to make risk-based decisions based on the magnitude of harm (to both organizations and individuals) when determining applicable restrictions for PII. For the purpose of this overlay, refer to the definitions of "adequate security" in OMB Circular A-130, Appendix III, and "confidentiality" in NIST SP 800-37, Rev. 1, Appendix B. These definitions are consistent with CNSSI No. 4009. Related Controls: AR-4; AR-7. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b), (e)(9)-(10); OMB M-07-16, Att. 4; OMB Circular A130, 7.g. and Appendix III; OMB M-06-16; NIST SP 800-37, Rev. 1, Appendix B; NIST SP 800-122 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(3)(i); 45 C.F.R. §164.308(a)(3)(ii)(A); 45 C.F.R. §164.308(a)(4)(i); 45 C.F.R. §164.308(a)(4)(ii)(B); 45 C.F.R. §164.308(a)(4)(ii)(C); 45 C.F.R. §164.312(a)(1); 45 C.F.R. §164.514(d)(1)-(5)
AC-2	+EGVR	+EGVR	+EGVR	+EGR	Justification to Select: Account management is a critical function for developing and implementing an access control framework that is appropriate for the information contained in systems and applications. When implemented effectively, the access control framework provides the necessary constructs for controlling access to PII, limiting disclosure of records about individuals to only those system and application users that have a need for the information to perform their job functions. The purpose of this guidance is to establish requirements for user access to PHI and PII. Low PII Confidentiality Impact Level Control Extension: Prohibit use of guest, anonymous, and shared accounts for providing access to PII. Notify account managers within an organization-defined timeframe when temporary accounts are no longer required or when information system users are terminated or transferred or information system usage or need-to-know/need-to-share changes. Prior to granting access to PII, users demonstrate a need for the PII in the performance of the user's duties. Moderate and High PII Confidentiality Impact Level Control Extension: Apply the Low PII confidentiality impact level Control Extension. Implement access controls within the information system based on users' or user group's need for access to PII in the performance of their duties. Organizations should provide access only to the minimum amount of PII necessary for users to perform their duties. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Controls: AC-16, AC-3 PHI Control Extension: Apply the High PII confidentiality impact level Control Extension. PHI Supplemental Guidance: The identification of authorized users and access privileges include considerations of whether the user will need access to PHI and whether such access may be permitted or required under HIPAA. The purpose of this guidance is to establish requirements for user access to PHI. Organizations should establish procedures for obtaining necessary electronic protected health information, to include during an emergency. Related Controls: AC-16, AC-3 Low and Moderate PII Confidentiality Impact Level Parameter Value: f.… the requirement for each user to complete annual privacy training, or otherwise the account would be disabled. j.… at least annually. High PII Confidentiality Impact Level Parameter Value: f.… the requirement for each user to complete privacy training annually, otherwise the account would be disabled. j.… at least quarterly for privileged accounts, at least annually for general user's accounts Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b), (e)(9)-(10); OMB M-07-16, Att. 1 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(3)(ii)(A); 45 C.F.R. §164.308(a)(3)(ii)(B); 45 C.F.R. §164.308(a)(4)(i); 45 C.F.R. §164.308(a)(4)(ii)(B); 45 C.F.R. §164.308(a)(4)(ii)(C); 45 C.F.R. §164.308(a)(5)(ii)(C); 45 C.F.R. §164.312(a)(2)(i); 45 C.F.R. §164.312(a)(2)(ii); 45 C.F.R. §164.502
AC-2 (8)		--R	--R		Justification to Not Select: Access to PII may not be granted to entities who are previously unknown, only to officers and employees who have a need for the information Privacy Overlay 25 Attachment 6 to Appendix F 04/20/2015 in performance of their duties. Dynamic account creation (DAC) is an automated process that may not support independent verification of a need for access to PII. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b)(1); OMB Circular A-130, 7.g.
AC-2 (9)	GVR	GVR	GVR	R	Low, Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Shared/group accounts that do not allow for uniquely attributing user activities should not be used for information systems that contain PII or PHI. Shared/group accounts do not allow for the necessary accountability (such as non-repudiation) required to log and monitor access to PII and PHI nor do they permit identification of individuals who have a need for access. Shared/group accounts do not permit audit trails to associate a user with an action — eliminating the ability to establish non-repudiation. Non-repudiation is a critical element of accountability and accuracy of information in systems, database or system history, and related logs and is important for investigating privacy incidents and breaches. Related Controls: AC-14, AR-4. Low, Moderate, and High PII Confidentiality Impact Level Parameter Value: … the requirement to uniquely attribute user activity to an account……… Low, Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b)(1); 5 U.S.C. §552a(c)(1); OMB Circular A-130, 7.g. and 8.a.1, 8.b.(2)(c). PHI Regulatory/Statutory Reference: 45 C.F.R. §164.312(a)(2)(i);
AC-2 (13)	+R	+R	+R	+R	Justification to Select: Disabling accounts for high-risk individuals is a minimum requirement for the organization's rules of behavior as a consequence for abusing access privileges to access PII, including information protected under the Privacy Act of 1974. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(9)-(10); OMB M-07-16 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(1)(ii)(B); 45 C.F.R. §164.308(a)(1)(ii)(C); 45 C.F.R. §164.308(a)(3)(ii)(C)
AC-3	+EGR	+EGR	+EGR	+GR	Justification to Select: Access to PII is more effectively controlled when access controls are considered during system design and built-into or enforced by the system (i.e. automated controls). Well-designed, automated access controls (e.g., mandatory access control (MAC), discretionary access control (DAC), role-based access control (RBAC), or attribute-based access control (ABAC)) limit user access to information according to defined access policies, which helps ensure the security and confidentiality of the PII contained in the system. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: Organizations shall control access to PII through access enforcement mechanisms. For example, implement role-based access controls and configure access controls so that each user can access only the pieces of information necessary for the user's role or only permit users to access PII through an application that restricts their access to the PII the users require, instead of allowing users direct access to a database or files containing PII. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Controls: AC-16, AC-2 Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b) and (e)(10); OMB M-06-16 PHI Supplemental Guidance: Related Controls: AC-16, AC-2 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(3)(ii)(A); 45 C.F.R. §164.308(a)(4)(ii)(B); 45 C.F.R. §164.308(a)(4)(ii)(C); 45 C.F.R. §164.310(a)(2)(iii); 45 C.F.R. §164.310(b); 45 C.F.R. §164.312(a)(1); 45 C.F.R. §164.312(a)(2)(i)
AC-3 (9)	+EVR	+EVR	+R		Justification to Select: PII released outside a system boundary may be at increased risk of unauthorized access and use. Release could include a formal process or an informal activity, such as a spreadsheet receiving data extracted from an information system. Moderate and High PII Confidentiality Impact Level Control Extension: Applicable policy mandates establishing policy regarding access to PII, including PHI, are the Privacy Act of 1974,E-Government Act of 2002 (Section 208), and HIPAA. PII may only be released when authorized, there is a need to know, and adequate assurances of protection have been provided. Related Controls: AC-21, UL-1, UL-2. Moderate and High PII Confidentiality Impact Level Parameter Value: (a) … organization or information system… … privacy and security controls commensurate with the PII confidentiality impact level of the PII being received… (b) … Appendix J, Controls UL-1 and UL-2… Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(a)(7), (b), (c), (e)(3)(c), (o); Privacy and Civil Liberties Implementation Guide for the Information Sharing Environment, Overview PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(4)(i)
AC-3 (10)	GVR	GVR	GVR		Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: For systems covered by the Privacy Act, this type of action must be audited. Under the Privacy Act, only individuals with a need for those records in the performance of their duties may gain access. When access control mechanisms are overridden, the override must be auditable or audited. Low, Moderate, and High PII Confidentiality Impact Level Parameter Value: … situations where access control mechanisms are overridden for information systems containing PII under the Privacy Act… Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(b)
AC-4		+GR	+GR	+R	Justification to Select: The information flow enforcement controls provide a technical means of implementing disclosure requirements by minimizing information shared between networks, devices, and individuals within information systems and between interconnected systems. This control can also limit information transfers between organizations based on data structures and content. Moderate and High PII Confidentiality Impact Level Supplementary Guidance: Related Control: AC-16 Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b); OMB M-06-19; OMB M-07-16 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(3)(ii)(A); 45 C.F.R. §164.308(a)(4)(ii)(B); 45 C.F.R. §164.310(b)
AC-4 (8)			+VR		Justification to Select: Security policy filters, or like technology, such as data loss prevention (DLP), can provide a form of continuous monitoring for compliance with Privacy Overlay 27 Attachment 6 to Appendix F 04/20/2015 privacy laws and regulations. Implementation of this security control reduces the potential for unauthorized transfer of PII. High PII Confidentiality Impact Level Parameter Value: …… best available security policy filters, or like technology to filter on selected PII values …… prevention of unauthorized transfer of PII across information system boundaries or domains. High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b); OMB M-06-19; OMB M-07-16; NIST SP 800-37, Rev. 1, Appendix G
AC-4 (12)				+GR	Justification to Select: The confidentiality of PHI is better protected when a system can automatically detect data types and usage when being transferred from one security domain to another. This includes, for example, transfers between systems having different access controls with only a limited set of users allowed access to the PHI. PHI Supplemental Guidance: Ensure that the minimum security controls identified in this overlay for PHI are in place to protect the data before transferring data between security domains. PHI Regulatory/Statutory Reference: 45 C.F.R. §164.312
AC-4 (15)		+GR	+GR	+R	Justification to Select: To provide the ability for an organization to monitor and prevent transfer of PII across different security domains, a system needs to have mechanisms to automatically detect, and where appropriate, prohibit the unauthorized transfer of PII across different security domains. Typical implementations of such controls will detect particular data types or metadata tagging and take action to prevent the transfer of the information beyond the intended boundaries. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: The organization ensures systems containing moderate and high PII confidentiality impact level information include the capability for the organization to centrally monitor for and detect unauthorized transfer of such PII across different security domains. Some technologies that would facilitate this include data-loss prevention, data-rights management, and key-word detection to prevent the unauthorized export of information from a network or to render such information unusable in the event of the unauthorized export of such information between security domains. Related Control: AC-16 Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b), (e)(9)-(10) Privacy Overlay 28 Attachment 6 to Appendix F 04/20/2015 PHI Regulatory/Statutory References: 45 C.F.R. §164.306(a); 45 C.F.R. §164.308(a)(5)(ii)(B)
AC-4 (17)		+GVR	+GVR		Justification to Select: The ability to identify source and destination points for PII flow within information systems is necessary for attribution and compliance with need to know requirements. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Implement a higher level of granularity for identification and authentication based on sensitivity of the PII. This is not to determine permissibility of the transfer but to enable an audit capability. Moderate and High PII Confidentiality Impact Level Parameter Value: … the applicable organization, system, application, or individual… Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(c) and (e)(10); OMB M-06-16
AC-4 (18)		+GR	+GR	+R	Justification to Select: To have a high level of trust in the information flow of PII, this control ensures the security attributes selected in AC-16 are bound to the information. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: To ensure the protection of PII throughout its information flow, this control should be used to protect PII as it travels within and among information systems and information system components, such as database servers, application servers, shared storage environments, document repositories, and file folders. Related Control: AC-16. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: OMB Circular A-130, 7.g. and Section 8 and Appendix III; OMB M-07-16; OMB M-06- 16 PHI Regulatory/Statutory Reference: 45 C.F.R. §164.306(a)
