Section	Control	Level 4	Level 5	Level 6	Requirement	Parameters
Table 3	AC-12 (1)	X	X			
Table 3	AC-16	X	X	X		
Table 3	AC-16 (6)	X	X	X		
Table 2	AC-17 (6)	X	X	X		
Table 2	AC-18 (3)	X	X	X		
Table 3	AC-2 (13)	X	X	X		
Table 2	AC-23	X	X	X		
Table 3	AC-3 (4)	X	X	X		
Table 2	AC-6 (7)	X	X	X		
Table 2	AC-6 (8)	X	X	X		
Table 2	AT-3 (2)	X	X	X		
Table 2	AT-3 (4)	X	X	X		
Table 3	AU-10	X	X			
Table 2	AU-12 (1)	X	X	X		
Table 2	AU-4 (1)	X	X	X		
Table 2	AU-6 (10)	X	X	X		
Table 2	AU-6 (4)	X	X	X		
Table 2	CA-3 (1)	X				
Table 2	CM-3 (4)	X	X	X		
Table 2	CM-3 (6)	X	X	X		
Table 2	CM-4 (1)	X	X	X		
Table 2	CM-5 (6)	X	X	X		
Table 2	IA-2 (9)	X	X	X		
Table 3	IA-3 (1)	X	X	X		
Table 2	IA-5 (13)	X	X	X		
Table 2	IR-4 (3)	X	X	X		
Table 2	IR-4 (4)	X	X	X		
Table 2	IR-4 (6)	X	X	X		
Table 2	IR-4 (7)	X	X	X		
Table 2	IR-4 (8)	X	X	X		
Table 2	IR-6 (2)	X	X	X		
Table 2	MA-4 (3)	X	X	X		
Table 2	MA-4 (6)	X	X	X		
Table 2	PE-3 (1)	X	X	X		
Table 2	PL-8 (1)	X	X			
Table 2	PS-4 (1)	X	X			
Table 3	PS-4 (1)	X				
Table 2	PS-6 (3)	X	X			
Table 3	PS-6 (3)	X				
Table 3	SA-12	X	X			
Table 3	SA-19	X	X			
Table 2	SA-4 (7)	X	X			
Table 3	SC-18 (3)	X	X			
Table 3	SC-18 (4)	X	X			
Table 2	SC-23 (1)	X	X	X		
Table 2	SC-23 (3)	X	X	X		
Table 2	SC-23 (5)	X	X			
Table 2	SC-7 (10)	X	X	X		
Table 2	SC-7 (11)	X	X			
Table 3	SC-7 (11)	X				
Table 2	SC-7 (14)	X				
Table 3	SC-7 (14)	X	X			
Table 2	SC-8 (2)	X	X			
Table 2	SI-10 (3)	X	X	X		
Table 2	SI-2 (6)	X	X	X		
Table 2	SI-3 (10)	X	X			
Table 2	SI-4 (12)	X	X	X		
Table 2	SI-4 (19)	X	X	X		
Table 2	SI-4 (20)	X	X	X		
Table 2	SI-4 (22)	X	X	X		
5.2.1	DoD-SRG-5.2.1-1	X	X	X	CSPs will maintain all government data that is not physically located on DoD premises within the 50 States, the District of Columbia, and outlying areas of the US.	
5.2.1	DoD-SRG-5.2.1-2		X	X	To protect against seizure and improper use by non-US persons and government entities, all data / information stored and processed for the DoD must reside in a facility under the exclusive legal jurisdiction of the US.	
5.2.1	DoD-SRG-5.2.1-3	X	X	X	DoD CSPs will, and commercial CSPs may (under DoD contract), instantiate their cloud service architecture on DoD premises (DoD on-premises).	
5.2.1	DoD-SRG-5.2.1-4	X	X	X	Interconnection with DoD networks will be interoperable IAW engineering requirements that meet cybersecurity guidance and controls. DoD on-premises includes DoD data centers, other facilities located on a DoD B/C/P/S, or in a commercial or another government facility (or portions thereof) under the direct control of DoD personnel and DoD security policies.	
5.2.1	DoD-SRG-5.2.1-5	X	X	X	A CSP will provide the agency a list of the physical locations where the data could be stored at any given time and update that list as new physical locations are added.	
5.1	DoD-SRG-5.1-1	X	X	X	DoDI 8500.01 requires all DoD Information Systems to be categorized in accordance with CNSSI 1253 and implement a corresponding set of security controls and control enhancements (C/CEs) that are published in NIST SP 800-53, regardless of whether they are National Security Systems (NSS) or non-NSS.	
5.1.1	DoD-SRG-5.1.1-1	X	X	X	Impact Level 2 information may be hosted in a CSP that minimally holds a FedRAMP Moderate PA (with or without a DoD PA); subject to compliance with the personnel security requirements outlined in section 5.6.2 and acceptance by the Mission Owner and the responsible Authorizing Official (AO).	
5.1.1	DoD-SRG-5.1.1-2		X	X	The FedRAMP v2 Moderate baseline, supplemented with DoD FedRAMP+ C/CEs and requirements in this SRG, are used to assess CSPs toward awarding a DoD PA at information impact levels 4 and above.	
5.1.2	DoD-SRG-5.1.2-1			X	Since Impact Level 6 is for classified NSS, it is also subject to the CNSSI 1253 Classified Overlay which imposes ninety eight (98) additional controls/enhancements.	
5.1.2	DoD-SRG-5.1.2-2	X	X	X	Additionally, any level that deals with PII or PHI is additionally subject to the CNSSI 1253 Privacy Overlay	
5.2.2.1	DoD-SRG-5.2.2.1-1	X			The CSP must provide evidence of strong virtual separation controls and monitoring, and the ability to meet “search and seizure” requests without the release of DoD information and data.	
