Family	Control	Requirement	Testing Procedures	Guidance
1		Install and maintain a firewall configuration to protect cardholder data		Firewalls are devices that control computer traffic allowed between an entity’s networks (internal) and untrusted networks (external), as well as traffic into and out of more sensitive areas within an entity’s internal trusted networks. The cardholder data environment is an example of a more sensitive area within an entity’s trusted network.A firewall examines all network traffic and blocks those transmissions that do not meet the specified security criteria.All systems must be protected from unauthorized access from untrusted networks, whether entering the system via the Internet as e-commerce, employee Internet access through desktop browsers, employee e-mail access, dedicated connections such as business-to-business connections, via wireless networks, or via other sources. Often, seemingly insignificant paths to and from untrusted networks can provide unprotected pathways into key systems. Firewalls are a key protection mechanism for any computer network.Other system components may provide firewall functionality, as long as they meet the minimum requirements for firewalls as defined in Requirement 1. Where other system components are used within the cardholder data environment to provide firewall functionality, these devices must be included within the scope and assessment of Requirement 1.
	1.1	Establish and implement firewall and router configuration standards that include the following:	Inspect the firewall and router configuration standards and other documentation specified below and verify that standards are complete and implemented as follows:	Firewalls and routers are key components of the architecture that controls entry to and exit from the network. These devices are software or hardware devices that block unwanted access and manage authorized access into and out of the network.  Configuration standards and procedures will help to ensure that the organization’s first line of defense in the protection of its data remains strong.
	1.1.1	A formal process for approving and testing all network connections and changes to the firewall and router configurations		A documented and implemented process for approving and testing all connections and changes to the firewalls and routers will help prevent security problems caused by misconfiguration of the network, router, or firewall.  Without formal approval and testing of changes, records of the changes might not be updated, which could lead to inconsistencies between network documentation and the actual configuration.
	1.1.1.a		Examine documented procedures to verify there is a formal process for testing and approval of all:  • Network connections and  • Changes to firewall and router configurations	
	1.1.1.b		For a sample of network connections, interview responsible personnel and examine records to verify that network connections were approved and tested.	
	1.1.1.c		Identify a sample of actual changes made to firewall and router configurations, compare to the change records, and interview responsible personnel to verify the changes were approved and tested.	
	1.1.2	Current network diagram that identifies all connections between the cardholder data environment and other networks, including any wireless networks		Network diagrams describe how networks are configured, and identify the location of all network devices.  Without current network diagrams, devices could be overlooked and be unknowingly left out of the security controls implemented for PCI DSS and thus be vulnerable to compromise.
	1.1.2.a		Examine diagram(s) and observe network configurations to verify that a current network diagram exists and that it documents all connections to cardholder data, including any wireless networks.	
	1.1.2.b		Interview responsible personnel to verify that the diagram is kept current.	
	1.1.3	Current diagram that shows all cardholder data flows across systems and networks	Examine data-flow diagram and interview personnel to verify the diagram:  • Shows all cardholder data flows across systems and networks.  • Is kept current and updated as needed upon changes to the environment.	Cardholder data-flow diagrams identify the location of all cardholder data that is stored, processed, or transmitted within the network.  Network and cardholder data-flow diagrams help an organization to understand and keep track of the scope of their environment, by showing how cardholder data flows across networks and between individual systems and devices.
