Table	Name	Description	Controls
Table 3: Universal Security Capabilities	Backup and Recovery	Backup and recovery entails keeping copies of configuration and data, as needed, to allow for the quick restoration of service in the event of malicious incidents, system failures, or corruption.	ID.BE, PR.IP, PR.DS, RS.MI, RC.RP
Table 3: Universal Security Capabilities	Central Log Management with Analysis	Central log management with analysis is the collection, storage, and analysis of telemetry, where the collection and storage are designed to facilitate data fusion and where the security analysis aids in discovery and response to malicious activity.	ID.AM, PR.PT, DE.AE, RS.AN
Table 3: Universal Security Capabilities	Configuration Management	Configuration management is the implementation of a formal plan for documenting and managing changes to the environment, and monitoring for deviations, preferably automated.	ID.BE, PR.DS, PR.IP, PR.MA
Table 3: Universal Security Capabilities	Incident Response Planning and Incident Handling	Incident response planning and incident handling is the documentation and implementation of a set of instructions, procedures, or technical capabilities to sense and detect, respond to, limit consequences of malicious cyberattacks, and restore the integrity of the network and associated systems.	ID.GV, ID.RA, PR.IP, DE.DP, DE.AE, RS.RP, RS.CO, RS.AN, RS.MI
Table 3: Universal Security Capabilities	Inventory	Inventory entails developing, documenting, and maintaining a current inventory of all systems, networks, and components so that only authorized devices are given access, and unauthorized and unmanaged devices are found and restricted from gaining access.	ID.AM, PR.AC, PR.DS, PR.IP
Table 3: Universal Security Capabilities	Least Privilege	Least privilege is a design principle whereby each entity is granted the minimum system resources and authorizations that the entity needs to perform its function.	ID.AM, PR.AC, PR.IP, PR.PT, DE.CM
Table 3: Universal Security Capabilities	Secure Administration	Secure administration entails securely performing administrative tasks, using secure protocols.	PR.MA
Table 3: Universal Security Capabilities	Strong Authentication	Strong authentication verifies the identity of users, devices, or other entities through rigorous means (e.g., multi-factor authentication) before granting access.	PR.AC
Table 3: Universal Security Capabilities	Time Synchronization	Time synchronization is the coordination of system (e.g., servers, workstations, network devices) clocks to minimize the difference between system clock times and enable accurate comparison of timestamps between systems.	PR.IP
Table 3: Universal Security Capabilities	Vulnerability Management	Vulnerability management is the practice of proactively working to discover vulnerabilities by including the use of both active and passive means of discovery and by taking action to mitigate discovered vulnerabilities.	ID.RA, PR.IP, DE.AE, DE.CM, DE.DP
Table 3: Universal Security Capabilities	Patch Management	Patch management is the identification, acquisition, installation, and verification of patches for products and systems.	ID.AM, PR.IP, PR.MA
Table 3: Universal Security Capabilities	Auditing and Accounting	Auditing and accounting includes capturing business records (e.g., logs and other telemetry), making them available for auditing and accounting as required, and designing an auditing system that considers insider threat (e.g., separation of duties violation tracking) such that insider abuse or misuse can be detected.	ID.SC, PR.AC, PR.PT
Table 3: Universal Security Capabilities	Resilience	Resilience entails ensuring that systems, services, and protections maintain acceptable performance under adverse conditions.	ID.BE, PR.PT
Table 3: Universal Security Capabilities	Enterprise Threat Intelligence	Enterprise threat intelligence is the usage of threat intelligence from private or government sources to implement mitigations for the identified risks.	ID.RA, DE.AE, DE.CM, DE.DP
Table 3: Universal Security Capabilities	Situational Awareness	Situational awareness is maintaining effective current and historical awareness across all components.	ID.AM, ID.RA, PR.DS, PR.IP, DE.AE, DE.CM, DE.DP, RS.CO
Table 3: Universal Security Capabilities	Dynamic Threat Discovery	Dynamic threat discovery is the practice of using dynamic approaches (e.g., heuristics, baselining, etc.) to discover new malicious activity.	ID.RA, DE.AE, DE.CM, DE.DP
Table 3: Universal Security Capabilities	Policy Enforcement Parity	Policy enforcement parity entails consistently applying security protections and other policies, independent of the communication mechanism, forwarding path, or endpoints used.	PR.DS, PR.IP, PR.MA
Table 3: Universal Security Capabilities	Effective Use of Shared Services	Effective use of shared services means that shared services are employed, where applicable, and individually tailored and measured to independently validate service conformance, and offer effective protections for tenants against malicious actors, both external and internal to the service provider.	ID.AM, ID.GV, ID.RM, ID.SC, PR.AT, RS.CO
Table 3: Universal Security Capabilities	Integrated Desktop, Mobile, and Remote Policies	Integrated desktop, mobile, and remote policies define and enforce policies that apply to a given agency entity independent of its location.	ID.AM, PR.AC, PR.DS, PR.IP, PR.MA
Table 4: Files PEP Security Capabilities	Anti-malware	Anti-malware protections detect the presence of malicious code and facilitate its quarantine or removal.	PR.DS, PR.PT, DE.CM, DE.DP, RS.MI
Table 4: Files PEP Security Capabilities	Content Disarm and Reconstruction	Content disarm and reconstruction technology detects the presence of unapproved active content and facilitates its removal.	PR.PT, DE.CM, DE.DP
Table 4: Files PEP Security Capabilities	Detonation Chamber	Detonation chambers facilitate the detection of malicious code using protected and isolated execution environments to analyze the files.	DE.CM, DE.DP, RS.AN, RS.MI
Table 4: Files PEP Security Capabilities	Data Loss Prevention	Data loss prevention (DLP) technologies detect instances of the exfiltration, either malicious or accidental, of agency data.	PR.DS
Table 5: Email PEP Security Capabilities	Anti-phishing Protections	Anti-phishing protections detect instances of phishing and prevent users from accessing them.	PR.AT, PR.PT, DE.CM
Table 5: Email PEP Security Capabilities	Anti-spam Protections	Anti-spam protections detect and quarantine instances of spam.	PR.PT, DE.CM
Table 5: Email PEP Security Capabilities	Authenticated Received Chain	Authenticated received chain allows for an intermediary, like a mailing list or forwarding service, to sign its own authentication of the original email, allowing downstream entities to accept the intermediary’s authentication even if the email was changed.	PR.AC
Table 5: Email PEP Security Capabilities	Data Loss Prevention	DLP technologies detect instances of the exfiltration, either malicious or accidental, of agency data.	PR.DS
Table 5: Email PEP Security Capabilities	Domain Signature Verification for Incoming Email	Domain signature verification protections authenticate incoming email according to the Domain-based Message Authentication Reporting and Conformance (DMARC) email authentication protocol defined in Request for Comments (RFC) 7489.5	PR.PT, PR.IP
Table 5: Email PEP Security Capabilities	Domain Signatures for Outgoing Email	Domain signature protections facilitate the authentication of outgoing emails by signing the emails and ensuring that external parties may validate the email signatures according to the DMARC email authentication protocol that is defined in RFC 7489.	PR.PT, PR.IP
Table 5: Email PEP Security Capabilities	Encryption for Email Transmission	Email services are configured to use encrypted connections, when possible, for communications between clients and other email servers.	PR.PT, PR.DS
Table 5: Email PEP Security Capabilities	Malicious Link Protections	Malicious link protections detect malicious links in emails and prevent users from accessing them.	PR.PT, DE.CM
Table 5: Email PEP Security Capabilities	Link Click-through Protection	Link click-through protections ensure that when a link from an email is clicked, the requester is directed to a protection that verifies the security of the link destination before permitting access.	PR.PT, DE.CM
Table 5: Email PEP Security Capabilities	EINSTEIN 3 Accelerated Email Protections	EINSTEIN 3 Accelerated (E3A)6 is an intrusion prevention capability offered by NCPS, provided by CISA, that includes an email filtering security service.	PR.PT, DE.CM
Table 6: Web PEP Security Capabilities	Break and Inspect	Break and Inspect systems, or encryption proxies, terminate encrypted traffic, log or perform policy enforcement against the plaintext, and re-encrypt the traffic, if applicable, before transmitting to the final destination.	PR.PT, DE.CM
